position,thickness,control.thickness,cell.number,control.cell.number,cell.wall,control.cell.wall
outside,57.5,140.5,7,6,33,31.2
outside,390.5,565.4,12,11,79.4,67.3
outside,379.4,481.1,16,16,120.28,102.9
outside,420.6,655.5,12,12,58,66.9
outside,381.9,655.5,11,12,68.6,66.9
outside,472.6,683,12,12,40.86,46.9
outside,553,815.4,22,21,184,151.8
outside,673.1,835.6,16,16,111,120.053
outside,562.8,775.4,20,20,148.8,155.8
outside,243.1,424.2,15,16,141,143.4
outside,95.6,203.2,17,12,23.4,24.2
outside,359.5,437.7,13,13,71.2,62.6
outside,124.6,240.6,11,10,60.6,74.8
outside,176.8,336.2,12,12,51.4,43.8
outside,197.2,329.4,13,14,136.8,128
outside,691.2,775.2,15,16,142.4,140.2
outside,77.8,151,12,12,15.4,8.6
outside,414,588.02,11,11,13.6,12.4
outside,380,540,12,12,15,12.2
outside,462,640,12,10,12.2,11.6
outside,378,442,11,11,17,16.2
outside,113.7,268.1,8,7,63.4,59.6
outside,57.5,160.5,7,6,33,31.2
outside,203.1,440,16,16,101,143.4
outside,454,700,25,24,101.2,100.8
outside,330.74,565.4,12,11,79.4,67.3
outside,461,655.5,8,12,38,66.9
outside,379.5,437.7,8,13,65.2,67.2
outside,532.7,1019.8,22,20,184,151.8
outside,335.5,441.1,16,16,97.6,102.9
outside,311.2,805.4,24,22,76.2,71
outside,363,425.4,13,11,58.8,56
outside,188.6,237.4,11,11,31.6,24.8
