test_lod,thickness_mm,maximum_load,tearing_strength
CONTROL,0.11,0.0295,0.268181818
CONTROL,0.17,0.04213,0.247823529
CONTROL,0.15,0.02515,0.167666667
CONTROL,0.33,0.03786,0.114727273
CONTROL,0.1,0.05628,0.5628
LOD,0.47,0.04229,0.089978723
LOD,0.44,0.03096,0.070363636
LOD,0.25,0.039,0.156
LOD,0.46,0.04267,0.09276087
LOD,0.31,0.0454,0.146451613
LOD,0.42,0.04079,0.097119048
LOD,0.29,0.03048,0.105103448
LOD,0.31,0.03866,0.124709677
LOD,0.42,0.02352,0.056
LOD,0.2,0.0342,0.171
CONTROL,0.24,0.05538,0.23075
CONTROL,0.17,0.04,0.235294118
CONTROL,0.24,0.0515,0.214583333
LOD,0.27,0.03385,0.12537037
CONTROL,0.56,0.09041,0.161446429
CONTROL,1,0.09215,0.09215
CONTROL,0.42,0.05891,0.140261905
CONTROL,0.21,0.04579,0.218047619
CONTROL,0.31,0.04168,0.134451613
CONTROL,0.66,0.11175,0.169318182
CONTROL,0.29,0.04956,0.170896552
LOD,0.26,0.09691,0.372730769
LOD,0.14,0.05646,0.403285714
CONTROL,0.15,0.05167,0.344466667
LOD,0.33,0.06052,0.183393939
CONTROL,0.28,0.06287,0.224535714
CONTROL,0.21,0.08531,0.406238095
CONTROL,0.17,0.05265,0.309705882
LOD,0.29,0.06,0.206896552
LOD,0.12,0.07252,0.604333333
LOD,0.12,0.04933,0.411083333
LOD,0.23,0.05738,0.249478261
LOD,0.23,0.06278,0.272956522
LOD,0.2,0.06827,0.34135
LOD,0.22,0.04437,0.201681818
LOD,0.22,0.05283,0.240136364
CONTROL,0.17,0.03066,0.180352941
LOD,0.22,0.06789,0.308590909
CONTROL,0.22,0.05578,0.253545455
CONTROL,0.2,0.05278,0.2639
CONTROL,0.22,0.06296,0.286181818
CONTROL,0.47,0.40387,0.859297872
CONTROL,0.53,0.43531,0.821339623
LOD,0.47,0.40041,0.85193617
CONTROL,0.37,0.42298,1.143189189
CONTROL,0.33,0.44304,1.342545455
CONTROL,0.39,0.42949,1.10125641
CONTROL,0.27,0.42809,1.585518519
CONTROL,0.32,0.4786,1.495625
CONTROL,0.31,0.4403,1.420322581
CONTROL,0.59,0.48701,0.825440678
CONTROL,0.41,0.49879,1.216560976
LOD,0.3,0.45467,1.515566667
LOD,0.49,0.52636,1.074204082
CONTROL,0.41,0.48884,1.192292683
CONTROL,0.27,0.51842,1.920074074
CONTROL,0.37,0.50829,1.373756757
CONTROL,0.57,0.52045,0.913070175
CONTROL,0.41,0.13672,0.333463415
CONTROL,0.26,0.16182,0.622384615
CONTROL,0.36,0.15487,0.430194444
CONTROL,0.4,0.17084,0.4271
CONTROL,0.34,0.15185,0.446617647
CONTROL,0.55,0.17073,0.310418182
CONTROL,0.57,0.16976,0.297824561
LOD,0.45,0.15588,0.3464
LOD,0.27,0.15933,0.590111111
LOD,0.24,0.16227,0.676125
CONTROL,0.44,0.17159,0.389977273
CONTROL,0.29,0.19429,0.669965517
CONTROL,0.22,0.18385,0.835681818
CONTROL,0.35,0.24321,0.694885714
CONTROL,0.58,0.23347,0.402534483
CONTROL,0.44,0.21208,0.482
CONTROL,0.55,0.20268,0.368509091
CONTROL,0.34,0.2069,0.608529412
CONTROL,0.44,0.18391,0.417977273
CONTROL,0.34,0.2196,0.645882353
LOD,0.25,0.17502,0.70008
CONTROL,0.33,0.17745,0.537727273
CONTROL,0.26,0.19621,0.754653846
CONTROL,0.31,0.17124,0.552387097
CONTROL,0.3,0.18928,0.630933333
