Orientation,thickness_mm,maximum_load,Angle,tearing_strength,Age,log_maximum_load
Crosswise,0.42,0.22,89,523.8095238,Mature,-1.514127733
Crosswise,0.45,0.3,87,666.6666667,Mature,-1.203972804
Lengthwise,0.47,0.055,1,117.0212766,Mature,-2.900422094
Crosswise,0.4,0.16,92,400,Mature,-1.832581464
Lengthwise,0.44,0.08,2,181.8181818,Mature,-2.525728644
Crosswise,0.39,0.25,90,641.025641,Mature,-1.386294361
Lengthwise,0.5,0.06,4,120,Mature,-2.813410717
Crosswise,0.33,0.16,91,484.8484848,Mature,-1.832581464
Crosswise,0.44,0.31,78,704.5454545,Mature,-1.171182982
Crosswise,0.46,0.123,85,267.3913043,Mature,-2.095570924
Crosswise,0.52,0.142,85,273.0769231,Mature,-1.951928221
Crosswise,0.46,0.149,90,323.9130435,Mature,-1.903808973
Crosswise,0.6,0.24908,89,415.1333333,Mature,-1.389981149
Lengthwise,0.61,0.09376,2,153.704918,Mature,-2.367016953
Crosswise,0.57,0.2543,85,446.1403509,Mature,-1.369240607
Crosswise,0.54,0.1839,86,340.5555556,Mature,-1.693363147
Lengthwise,0.49,0.03384,2,69.06122449,Mature,-3.386111744
Crosswise,0.48,0.20008,94,416.8333333,Mature,-1.609037992
Lengthwise,0.41,0.0741,1,180.7317073,Mature,-2.602339747
Crosswise,0.58,0.1553,90,267.7586207,Mature,-1.862396549
Lengthwise,0.59,0.07853,2,133.1016949,Mature,-2.544274562
Lengthwise,0.51,0.05572,4,109.254902,Mature,-2.88741613
Lengthwise,0.45,0.0717,0,159.3333333,Mature,-2.635264531
Lengthwise,0.55,0.08111,1,147.4727273,Mature,-2.511949021
Crosswise,0.51,0.17067,89,334.6470588,Mature,-1.768023412
Lengthwise,0.33,0.04723,5,143.1212121,Mature,-3.052725995
Lengthwise,0.59,0.07787,1,131.9830508,Mature,-2.552714509
Lengthwise,0.61,0.09719,3,159.3278689,Mature,-2.331087453
Lengthwise,0.47,0.0849,2,180.6382979,Mature,-2.466281186
Lengthwise,0.49,0.06255,3,127.6530612,Mature,-2.771789042
Lengthwise,0.41,0.05536,1,135.0243902,Mature,-2.893897968
Lengthwise,0.57,0.0633,0,111.0526316,Mature,-2.75986995
Crosswise,0.48,0.16631,81,346.4791667,Mature,-1.793901762
Crosswise,0.62,0.16122,84,260.0322581,Mature,-1.824985387
Lengthwise,0.17,0.03364,1,197.8823529,Juvenile,-3.392039444
Lengthwise,0.15,0.01378,0,91.86666667,Juvenile,-4.284537013
Crosswise,0.32,0.07961,1,248.78125,Juvenile,-2.530615566
Crosswise,0.265,0.07033,4,265.3962264,Juvenile,-2.654556829
Crosswise,0.28,0.06393,2,228.3214286,Juvenile,-2.749966544
Crosswise,0.17,0.05154,10,303.1764706,Juvenile,-2.965397074
Lengthwise,0.17,0.0363,18,213.5294118,Juvenile,-3.315937538
Crosswise,0.22,0.06716,3,305.2727273,Juvenile,-2.700677447
Lengthwise,0.22,0.04945,6,224.7727273,Juvenile,-3.006793221
Crosswise,0.24,0.07097,0,295.7083333,Juvenile,-2.645498026
Lengthwise,0.26,0.0403,0,155,Juvenile,-3.21140381
Crosswise,0.36,0.06008,71,166.8888889,Juvenile,-2.812078272
Lengthwise,0.3,0.03272,2,109.0666667,Juvenile,-3.419768767
Crosswise,0.31,0.05075,60,163.7096774,Juvenile,-2.980843661
Lengthwise,0.31,0.03578,0,115.4193548,Juvenile,-3.330366201
Crosswise,0.2,0.07271,6,363.55,Juvenile,-2.621276352
Lengthwise,0.08,0.02352,45,294,Juvenile,-3.749904156
Crosswise,0.14,0.0487,0,347.8571429,Juvenile,-3.022076249
Lengthwise,0.14,0.03481,0,248.6428571,Juvenile,-3.357850577
Lengthwise,0.17,0.03066,4,180.3529412,Juvenile,-3.484796406
Lengthwise,0.215,0.02331,2,108.4186047,Juvenile,-3.758872826
Crosswise,0.21,0.0271,2,129.047619,Juvenile,-3.608221551
Lengthwise,0.18,0.02438,4,135.4444444,Juvenile,-3.713992155
Crosswise,0.18,0.04135,7,229.7222222,Juvenile,-3.185682858
Lengthwise,0.2,0.02493,7,124.65,Juvenile,-3.691683381
Crosswise,0.2,0.05973,2,298.65,Juvenile,-2.817920872
Lengthwise,0.175,0.01171,0,66.91428571,Juvenile,-4.447312101
Crosswise,0.2,0.03602,1,180.1,Juvenile,-3.323680939
Lengthwise,0.13,0.02564,0,197.2307692,Juvenile,-3.663601647
Crosswise,0.13,0.02603,0,200.2307692,Juvenile,-3.64850556
Crosswise,0.16,0.03627,0,226.6875,Juvenile,-3.316764326
Lengthwise,0.16,0.02839,0,177.4375,Juvenile,-3.561718308
Crosswise,0.15,0.03974,0,264.9333333,Juvenile,-3.225397042
