midline.length,area,split.initial.mm,speed.percent,increase.split.binary,ratio,width,Category
59.4,253.7,54,10,0,1,4.271043771,Artificial
74.8,575,80,10,1,1.176470588,7.687165775,Artificial
31.66666667,135,130,18,1,4.333333333,4.263157895,Artificial
49.5,222,55,10,0,1.222222222,4.484848485,Artificial
35.41666667,190,40,18,0,1.066666667,5.364705882,Artificial
NA,NA,45,14,0,NA,NA,Natural
NA,NA,141,6,1,NA,NA,Artificial
NA,NA,156,6,1,NA,NA,Artificial
NA,NA,92,6,1,NA,NA,Artificial
NA,NA,50,6,1,NA,NA,Artificial
NA,NA,26,6,0,NA,NA,Natural
NA,NA,45,6,0,NA,NA,Artificial
31.5,193.1,31,6,1,0.984126984,6.13015873,Natural
35.5,206.6,38,10,1,1.070422535,5.81971831,Natural
46.07142857,276.5,29,14,1,0.674418605,6.001550388,Natural
27.32142857,148.1,49,14,1,1.921568627,5.420653595,Natural
57.85714286,295,69,14,1,1.277777778,5.098765432,Natural
60.53571429,318.4,117,14,0,2.07079646,5.259705015,Natural
44.5,252.9,44,10,1,0.988764045,5.683146067,Natural
29,165.4,66,10,1,2.275862069,5.703448276,Natural
45,281,90,14,1,2,6.244444444,Natural
20,121,134,10,1,6.7,6.05,Natural
20,102,130,6,1,6.5,5.1,Natural
24,118,138,14,1,5.75,4.916666667,Natural
23,163,45,6,1,1.956521739,7.086956522,Natural
38.5,182,146,14,1,3.792207792,4.727272727,Natural
43,340.2,122,14,1,2.837209302,7.911627907,Natural
28.5,182.2,192,6,1,6.736842105,6.392982456,Natural
32.5,174,35,18,1,1.076923077,5.353846154,Natural
14.5,96.3,26,10,0,1.793103448,6.64137931,Natural
13.5,94.8,45,18,1,3.333333333,7.022222222,Natural
11,42,42,6,1,3.818181818,3.818181818,Natural
11.5,62,31,18,0,2.695652174,5.391304348,Natural
9.5,40,16,6,0,1.684210526,4.210526316,Natural
16.5,64,17,6,0,1.03030303,3.878787879,Natural
12,41,50,10,1,4.166666667,3.416666667,Natural
10.5,57,41,18,1,3.904761905,5.428571429,Natural
13,63.7,20,6,0,1.538461538,4.9,Natural
11,51.7,6,10,0,0.545454545,4.7,Natural
15.5,54.2,67,6,0,4.322580645,3.496774194,Natural
17,73,20,18,1,1.176470588,4.294117647,Natural
19.5,80.2,51,18,1,2.615384615,4.112820513,Natural
19.5,90.2,53,18,1,2.717948718,4.625641026,Natural
17,57.9,15,6,1,0.882352941,3.405882353,Natural
18,72,51,6,1,2.833333333,4,Natural
20,71,48,14,0,2.4,3.55,Natural
52,399,149,18,1,2.865384615,7.673076923,Natural
23,197.2,158,14,1,6.869565217,8.573913043,Natural
26,213,20,14,0,0.769230769,8.192307692,Natural
16,94,27,18,0,1.6875,5.875,Natural
15,63.2,77,6,1,5.133333333,4.213333333,Natural
11,39.5,15,14,0,1.363636364,3.590909091,Natural
39.5,153,52,10,0,1.316455696,3.873417722,Natural
16.5,52.6,36,10,1,2.181818182,3.187878788,Natural
37.5,212,11,6,1,0.293333333,5.653333333,Natural
15,41,44,14,0,2.933333333,2.733333333,Natural
7.5,65,29,22,1,3.866666667,8.666666667,Natural
9.5,37,41,22,1,4.315789474,3.894736842,Natural
21.5,71.9,23,10,0,1.069767442,3.344186047,Natural
13,50.5,20,14,1,1.538461538,3.884615385,Natural
22.5,90.4,104,6,1,4.622222222,4.017777778,Natural
39,211.3,54,22,1,1.384615385,5.417948718,Natural
26,156.5,115,10,1,4.423076923,6.019230769,Artificial
39,162.9,125,22,1,3.205128205,4.176923077,Artificial
41.5,275,125,6,1,3.012048193,6.626506024,Artificial
22,150.8,49,22,1,2.227272727,6.854545455,Natural
48.5,280.7,110,10,1,2.268041237,5.787628866,Natural
39.5,198.4,54,22,1,1.367088608,5.02278481,Artificial
48.5,273.6,110,10,1,2.268041237,5.641237113,Artificial
82,450,225,6,1,2.743902439,5.487804878,Artificial
52,432,210,10,1,4.038461538,8.307692308,Artificial
62,307,10,6,0,0.161290323,4.951612903,Artificial
108,931,5,14,0,0.046296296,8.62037037,Artificial
35.5,254,9,6,0,0.253521127,7.154929577,Artificial
52,276,100,10,1,1.923076923,5.307692308,Artificial
35.5,300,7,14,1,0.197183099,8.450704225,Artificial
45.5,354,170,10,1,3.736263736,7.78021978,Artificial
40,182,15,14,0,0.375,4.55,Artificial
26,209,34,10,1,1.307692308,8.038461538,Artificial
32,167,35,18,0,1.09375,5.21875,Artificial
35.5,299,38,10,1,1.070422535,8.422535211,Artificial
43,210,13,18,0,0.302325581,4.88372093,Artificial
19,144,11,18,1,0.578947368,7.578947368,Artificial
25.5,135,186,18,1,7.294117647,5.294117647,Artificial
31,290,20,10,0,0.64516129,9.35483871,Artificial
32.5,208,35,18,0,1.076923077,6.4,Artificial
26.5,201,209,6,1,7.886792453,7.58490566,Artificial
32,207,24,22,1,0.75,6.46875,Artificial
36.5,314,32,6,0,0.876712329,8.602739726,Artificial
44.5,212.43,87,14,0,1.95505618,4.773707865,Artificial
63.5,261,95,18,1,1.496062992,4.11023622,Artificial
43.5,287,59,18,0,1.356321839,6.597701149,Artificial
35.5,178,37,10,1,1.042253521,5.014084507,Natural
59,371,92,14,1,1.559322034,6.288135593,Artificial
44,385.8,74,10,0,1.681818182,8.768181818,Artificial
24,93.8,16,10,1,0.666666667,3.908333333,Artificial
28,281.5,18,10,0,0.642857143,10.05357143,Artificial
74,289,118,14,1,1.594594595,3.905405405,Artificial
82.5,685,148,10,1,1.793939394,8.303030303,Artificial
72,320,102,10,1,1.416666667,4.444444444,Artificial
68,390.41,150,6,1,2.205882353,5.741323529,Artificial
55,479,150,10,1,2.727272727,8.709090909,Artificial
60,238,150,22,1,2.5,3.966666667,Artificial
63,312,150,14,1,2.380952381,4.952380952,Artificial
58.5,217,150,18,1,2.564102564,3.709401709,Artificial
54,217,150,6,1,2.777777778,4.018518519,Artificial
58.5,342,150,10,1,2.564102564,5.846153846,Artificial
58.5,271,150,14,1,2.564102564,4.632478632,Artificial
58.5,289,150,22,1,2.564102564,4.94017094,Artificial
49.5,253,50,6,0,1.01010101,5.111111111,Artificial
43,183,50,10,0,1.162790698,4.255813953,Artificial
46.5,352.7,50,14,0,1.075268817,7.584946237,Artificial
41.5,189,50,18,0,1.204819277,4.554216867,Artificial
48.5,204,50,22,1,1.030927835,4.206185567,Artificial
46.5,221,50,18,1,1.075268817,4.752688172,Artificial
90.5,855.1,100,6,1,1.104972376,9.448618785,Artificial
54,223,28,18,0,0.518518519,4.12962963,Artificial
86,421,100,10,1,1.162790698,4.895348837,Artificial
82,457,100,14,1,1.219512195,5.573170732,Artificial
94,501,100,18,1,1.063829787,5.329787234,Artificial
90,515,100,22,1,1.111111111,5.722222222,Artificial
91,630.5,200,6,1,2.197802198,6.928571429,Artificial
96,549,200,10,1,2.083333333,5.71875,Artificial
64.5,413,200,14,1,3.100775194,6.403100775,Artificial
124,957,200,18,1,1.612903226,7.717741935,Artificial
112.5,630.5,200,22,1,1.777777778,5.604444444,Artificial
51.5,349,200,6,1,3.883495146,6.776699029,Artificial
108,843,200,14,1,1.851851852,7.805555556,Artificial
97,826,50,6,1,0.515463918,8.515463918,Artificial
91,722,50,10,1,0.549450549,7.934065934,Artificial
98,854,50,14,0,0.510204082,8.714285714,Artificial
86.5,814.08,50,18,1,0.578034682,9.41132948,Artificial
90,724,50,22,1,0.555555556,8.044444444,Artificial
89.9,319,10,10,0,0.111234705,3.548387097,Artificial
81,281,7,10,0,0.086419753,3.469135802,Artificial
82.5,367,7,14,0,0.084848485,4.448484848,Artificial
50,243,7,18,0,0.14,4.86,Artificial
80.5,493,7,6,0,0.086956522,6.124223602,Artificial
84,412,7,22,0,0.083333333,4.904761905,Artificial
68,472,7,14,0,0.102941176,6.941176471,Artificial
77.5,486,7,18,0,0.090322581,6.270967742,Artificial
34,143,5,6,0,0.147058824,4.205882353,Artificial
41.5,156,9,6,0,0.21686747,3.759036145,Artificial
